Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,11.810000,13.000000,11.790000,12.900000,12.900000,540900
2020-05-12,12.830000,12.970000,12.670000,12.840000,12.840000,521200
2020-05-13,12.730000,13.160000,12.080000,12.480000,12.480000,600800
2020-05-14,12.270000,12.840000,11.820000,12.830000,12.830000,302400
2020-05-15,12.700000,12.700000,12.110000,12.590000,12.590000,317200
2020-05-18,12.920000,13.170000,12.770000,13.000000,13.000000,404800
2020-05-19,12.880000,13.560000,12.370000,12.520000,12.520000,1483200
2020-05-20,12.900000,13.400000,12.690000,13.280000,13.280000,719600
2020-05-21,13.280000,13.740000,13.190000,13.500000,13.500000,713000
2020-05-22,13.650000,13.780000,13.280000,13.470000,13.470000,317900
2020-05-26,14.030000,14.030000,13.580000,13.820000,13.820000,387900
2020-05-27,14.090000,14.300000,13.530000,14.270000,14.270000,461100
2020-05-28,14.390000,14.470000,13.540000,13.710000,13.710000,387300
2020-05-29,13.500000,14.100000,13.450000,13.950000,13.950000,352100
2020-06-01,13.950000,14.200000,13.610000,13.690000,13.690000,413600
2020-06-02,13.760000,14.060000,13.600000,14.040000,14.040000,286200
2020-06-03,14.430000,14.510000,13.900000,13.900000,13.900000,310000
2020-06-04,13.620000,14.090000,13.270000,13.610000,13.610000,235700
2020-06-05,14.050000,14.200000,13.760000,13.900000,13.900000,368600
2020-06-08,14.000000,14.140000,13.630000,13.680000,13.680000,230000
2020-06-09,13.520000,13.770000,13.250000,13.660000,13.660000,200900
2020-06-10,13.590000,13.750000,13.460000,13.620000,13.620000,240400
2020-06-11,13.180000,13.390000,12.470000,12.670000,12.670000,360400
2020-06-12,12.980000,13.360000,12.610000,12.860000,12.860000,325400
2020-06-15,12.440000,13.270000,12.360000,13.230000,13.230000,251900
2020-06-16,13.700000,13.920000,13.420000,13.690000,13.690000,374900
2020-06-17,13.700000,13.870000,13.110000,13.180000,13.180000,337500
2020-06-18,13.180000,13.610000,13.120000,13.150000,13.150000,320400
2020-06-19,13.310000,13.840000,13.300000,13.450000,13.450000,458600
2020-06-22,13.580000,14.740000,13.370000,14.090000,14.090000,1098400
2020-06-23,14.600000,14.730000,14.200000,14.330000,14.330000,610100
2020-06-24,14.220000,14.330000,13.180000,13.360000,13.360000,356800
2020-06-25,13.290000,14.110000,13.260000,13.990000,13.990000,429300
2020-06-26,14.030000,14.620000,13.580000,14.590000,14.590000,1050900
2020-06-29,14.840000,15.380000,13.840000,14.820000,14.820000,1225200
2020-06-30,14.970000,15.880000,14.880000,15.840000,15.840000,1140400
2020-07-01,16.000000,16.480000,15.560000,15.970000,15.970000,1025200
2020-07-02,16.420000,16.480000,15.120000,15.380000,15.380000,699000
2020-07-06,15.650000,15.960000,15.290000,15.710000,15.710000,622000
2020-07-07,15.710000,16.680000,15.700000,16.200001,16.200001,760600
2020-07-08,16.200001,17.330000,16.200001,17.000000,17.000000,1120800
2020-07-09,17.750000,17.750000,16.910000,17.650000,17.650000,1083600
2020-07-10,17.559999,17.799999,17.090000,17.480000,17.480000,765300
